id,entry date,level,termination date,college_name,degree,last GPA,transfer credit hours,transfer quality hours,credit hours earned,GPA credit hours,quality poinrts,major,minor,advisor,exit status,WVU_freshman,RN,Comment,P/F hours
700100185,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.55,0,0,159,156,555,Nursing,NULL,NULL,graduated,0,1,NULL,0
700100668,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,NULL,0,1,NULL,0
700100914,00:00.0,assoc.,00:00.0,Fairmont State University,Assoc.,3.12,0,0,64,64,200,Nursing,NULL,NULL,graduated,0,1,NULL,0
700101079,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.68,0,0,155,121,446,Nursing,NULL,NULL,graduated,0,0,NULL,0
700101079,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.9,0,0,44,44,172,Nursing,NULL,NULL,graduated,0,1,NULL,NULL
700101289,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.56,0,0,133,142,0,Liberal Arts & Sciences,NULL,NULL,graduated,0,0,NULL,0
700101406,00:00.0,undergrad,00:00.0,Alderson Broaddus College,NULL,0,0,0,0,0,0,Secondary Education/Biology,NULL,NULL,transferred,0,0,NULL,0
700101406,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.46,78,0,156,63,218,Secondary Education/Biology,NULL,NULL,graduated,0,0,NULL,0
700101406,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.64,78,0,212,106,386,Nursing,NULL,Michele Godwin,graduated,0,1,NULL,0
700105569,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.7,0,0,144,117,434,Nursing,NULL,NULL,graduated,0,1,NULL,26
700105569,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.93,0,0,61,49,193,Nursing,NULL,NULL,graduated,0,0,NULL,0
700105884,00:00.0,graduate,00:00.0,George Mason University,MSN,3.5,0,0,0,0,0,NULL,NULL,NULL,graduated,0,1,NULL,0
700106827,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.2,0,0,138,105,336,Nursing,NULL,NULL,graduated,0,1,NULL,0
700106827,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.91,0,0,42,36,141,Nursing,NULL,NULL,graduated,0,0,NULL,0
700107801,00:00.0,NULL,00:00.0,Davis and Elkins College,NULL,3.375,0,0,120,120,405,NULL,NULL,NULL,NULL,0,0,NULL,0
700109066,00:00.0,undergrad,00:00.0,Virginia Commonwealth University,BA/BS,2.806,0,0,130,103,289,Business Management,NULL,NULL,graduated,0,0,NULL,0
700109150,00:00.0,assoc.,00:00.0,J. Sargeant Reynolds Community College,Assoc.,2.5353,0,0,99,99,251,Nursing,NULL,NULL,graduated,0,1,NULL,0
700112612,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,2.88,0,0,196,181,523,Nursing,NULL,NULL,graduated,0,0,NULL,0
700113426,00:00.0,undergrad,00:00.0,Alderson Broaddus College,NULL,1.56,0,0,35,35,75,NULL,NULL,NULL,unknown,0,0,NULL,0
700113967,00:00.0,undergrad,NULL,Shepherd College,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,NULL,0
700115485,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.9595,0,0,173,173,512,Business Administration,NULL,NULL,graduated,0,0,NULL,0
700115485,00:00.0,graduate,00:00.0,Waynesburg College,Other Masters,3.93,0,0,28,28,109.9,Business Administration,NULL,NULL,graduated,0,0,NULL,0
700115882,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700115882,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700116308,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MS,3.43,0,0,53,53,182,Athletic Training,NULL,NULL,graduated,0,0,NULL,0
700116694,00:00.0,undergrad,00:00.0,Concord College,BA/BS,3.61,0,0,164,164,593,Music Education,NULL,NULL,graduated,0,0,NULL,0
700116694,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,Other Masters,0,0,0,0,0,0,Music-Piano Pedagogy,NULL,NULL,graduated,0,0,NULL,0
700116694,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,Doctoral,0,0,0,0,0,0,Musical Arts,NULL,NULL,graduated,0,0,NULL,0
700116896,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.68,0,0,54,54,199,Nursing,NULL,NULL,graduated,0,1,NULL,0
700117477,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.87,0,0,131,127,365,Psychology,NULL,NULL,graduated,0,0,NULL,0
700120017,00:00.0,undergrad,00:00.0,Wheeling College,BA/BS,2.909,0,0,231,231,672,Biology,NULL,NULL,graduated,0,0,NULL,0
700120609,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,0,0,0,0,0,0,Athletic Training,NULL,NULL,graduated,0,0,NULL,0
700120609,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.99,0,0,211,205,614,Exercise Physiology,NULL,NULL,graduated,0,0,NULL,0
700120850,00:00.0,graduate,00:00.0,West Liberty State College,BSN,3.37,132,126,207,201,678,Nursing,NULL,NULL,graduated,0,1,NULL,0
700125160,00:00.0,graduate,00:00.0,Marshall University,MSN,3.5,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700125781,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.91,0,NULL,36,36,141,Nursing,NULL,NULL,graduated,0,1,NULL,0
700127000,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.44,0,0,65,0,224,Nursing,NULL,NULL,graduated,0,1,NULL,0
700127000,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,JD,2.48,0,0,93,91,226,Law,Nursing,NULL,graduated,0,0,graduated with PH.D. in Law. Does not need GRE when applying to the WVU School of Nursing's Master's Program.,0
700128438,00:00.0,undergrad,00:00.0,St. Cloud State University,BA/BS,3.55,0,0,53,53,167,Biology,NULL,NULL,graduated,0,0,NULL,0
700129461,00:00.0,undergrad,00:00.0,Glenville State College,BA/BS,3.45,0,0,227,215,743,Psychology,NULL,NULL,graduated,0,0,NULL,0
700130015,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.01,0,0,157,153,462,Exercise Physiology,Nursing,NULL,graduated,0,0,BS in Exercise Physiology,0
700130019,00:00.0,assoc.,00:00.0,Potomac StateCollege,Assoc.,0,0,0,0,0,0,Biology,NULL,NULL,graduated,0,0,NULL,0
700130019,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,0,0,0,0,0,0,Biology,NULL,NULL,graduated,0,0,NULL,0
700130451,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.68,3,0,85,82,302,Nursing,NULL,NULL,graduated,0,1,NULL,0
700131194,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.86,0,0,114,116,332,Biology,NULL,NULL,graduated,0,0,Expected to graduate with MS in Biology December 2005,0
700131728,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.15,58,21,163,96,303,Social Work,Sociology,NULL,graduated,0,0,NULL,0
700132475,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700132547,00:00.0,undergrad,00:00.0,Marshall University,NULL,3.75,0,0,151,151,567,Nursing,NULL,NULL,NULL,0,0,Will graduate May 2007,0
700132577,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA,2.27,0,0,149,156,0,Liberal Arts,NULL,NULL,graduated,0,0,NULL,354
700134639,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.23,19,24,139,121,392,Exercise Physiology,NULL,NULL,graduated,0,0,NULL,0
700135854,00:00.0,assoc.,00:00.0,Davis and Elkins College,Assoc.,3.83,0,0,71,0,180,Nursing,NULL,NULL,graduated,0,1,NULL,0
700135854,00:00.0,undergrad,00:00.0,Davis and Elkins College,BSN,3.93,0,0,143,0,452,Nursing,NULL,NULL,graduated,0,1,NULL,0
700136059,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.21,3,0,138,132,425,Wildlife & Fisheries Resources,NULL,NULL,graduated,0,0,NULL,0
700137569,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.23,25,0,163,149,481,Nursing,NULL,NULL,graduated,0,1,NULL,2
700138245,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.1,42,0,133,66,205,Regents Bachelor of Arts,NULL,NULL,graduated,0,0,NULL,0
700138245,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.25,42,0,191,111,361,Nursing,NULL,NULL,graduated,0,0,NULL,13
700138397,00:00.0,undergrad,00:00.0,Wake Forest University,BA/BS,3.05,0,0,112,112,330,Sociology,NULL,NULL,graduated,0,0,NULL,0
700138786,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.7398,0,0,173,173,474,Communication Studies,NULL,NULL,graduated,0,0,NULL,0
700139435,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.67,81,144,145,101,371,Human Nutrition & Foods,NULL,NULL,graduated,0,0,NULL,0
700139635,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.45,0,0,0,0,0,Recreation,NULL,NULL,graduated,0,0,NULL,0
700143338,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.55,0,0,148,112,398,Nursing,NULL,NULL,graduated,0,1,NULL,0
700146162,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.12,0,0,146,139,434,Biology,NULL,NULL,graduated,0,0,NULL,0
700146162,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,Other Masters,3.66,0,0,41,36,132,Public Health,NULL,NULL,graduated,0,0,NULL,0
700149122,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.93,0,0,42,42,165,Nursing,NULL,NULL,graduated,0,1,NULL,0
700151390,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.03,0,0,115,115,348,Nursing,NULL,NULL,NULL,0,1,NULL,0
700151731,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,0,0,0,0,0,0,Psychology,NULL,NULL,graduated,0,0,NULL,0
700153131,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3,0,0,82,82,246,Nursing,NULL,NULL,graduated,0,0,NULL,0
700153517,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.409,0,0,132,132,450,Geology,NULL,NULL,graduated,0,0,NULL,0
700153576,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.06,0,0,146,146,301,Psychology,NULL,NULL,graduated,0,0,NULL,0
700155525,00:00.0,undergrad,00:00.0,Shepherd College,Assoc.,2.94,0,0,184,184,541,Nursing,NULL,NULL,graduated,0,1,NULL,0
700155655,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.06,6,0,131,125,383,Exercie Physiology,NULL,NULL,graduated,0,0,NULL,0
700157011,00:00.0,assoc.,00:00.0,Ohio Valley General Hospital,Diploma,0,0,0,0,0,0,Nursing,NULL,NULL,NULL,0,1,NULL,0
700157295,00:00.0,undergrad,00:00.0,Garrett College,NULL,2.62,39,0,74,74,104,NULL,NULL,NULL,NULL,0,0,NULL,0
700157295,00:00.0,undergrad,00:00.0,Fairmont State University,NULL,3.12,86,113,118,77,241,Pre-Nursing,NULL,NULL,NULL,0,0,NULL,0
