"PCName","DateOfRemoval","Enabled","LastLogonDate","Location","LAPs","BitLocker","Groups","OS","Description","dN"
"CWVU7Z4QLM1","11/24/2021 10:50:09 PM","False","2/5/2016 11:11:12 AM",,,"","Domain Computers;Securing RDP (SWEET32) Clients","Windows 7 Professional"," , CN=CWVU7Z4QLM1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU7Z4QLM1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU81GN2Z2","11/24/2021 10:50:10 PM","False","9/30/2019 8:41:25 AM","104",,"591041-007414-127765-562166-031273-301488-264836-006589;623403-247566-014850-181192-531168-320661-573892-455598","Domain Computers;Securing RDP (SWEET32) Clients","Windows 10 Pro"," , CN=CWVU81GN2Z2,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU81GN2Z2,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU860TQ72","11/24/2021 10:50:10 PM","False","1/29/2019 8:49:57 AM","CTC 5",,"663069-464123-046915-309606-664818-634106-389301-587884;520036-122342-609334-268950-120307-378620-572528-323774;146311-408529-166177-135135-070939-561682-356455-388828","Domain Computers;Securing RDP (SWEET32) Clients","Windows 10 Enterprise"," , CN=CWVU860TQ72,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU860TQ72,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU888GWL1","11/24/2021 10:50:11 PM","False","2/12/2018 12:44:01 PM",,,"672188-557447-601425-611424-707135-126401-556974-436183","Domain Computers;Securing RDP (SWEET32) Clients","Windows 7 Enterprise"," , CN=CWVU888GWL1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU888GWL1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU8GH8BZ1","11/24/2021 10:50:12 PM","False","4/26/2019 1:07:51 PM",,,"","Domain Computers;Securing RDP (SWEET32) Clients","Windows 7 Professional"," , CN=CWVU8GH8BZ1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU8GH8BZ1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU8MW6SW1","11/24/2021 10:50:12 PM","False","6/4/2018 9:17:44 AM",,,"","Domain Computers;Securing RDP (SWEET32) Clients","Windows 7 Professional"," , CN=CWVU8MW6SW1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU8MW6SW1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU8QW8N72","11/24/2021 10:50:12 PM","False","5/24/2017 9:39:23 AM","Student Services 3rd",,"110385-602943-198209-403535-436073-544533-239646-379764","Domain Computers;Securing RDP (SWEET32) Clients","Windows 10 Pro"," , CN=CWVU8QW8N72,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU8QW8N72,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU8R42VL1","11/24/2021 10:50:12 PM","False","10/27/2014 7:59:19 AM",,,"","Domain Computers;Securing RDP (SWEET32) Clients","Windows 7 Enterprise"," , CN=CWVU8R42VL1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU8R42VL1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU8ZF8CK1","11/24/2021 10:50:13 PM","False","1/7/2019 7:52:30 AM",,,"045419-028930-387970-120989-007953-329780-501809-127765","Domain Computers;Securing RDP (SWEET32) Clients","Windows 7 Enterprise"," , CN=CWVU8ZF8CK1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU8ZF8CK1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU8ZF9CK1","11/24/2021 10:50:13 PM","False","7/6/2016 8:28:00 AM",,,"","Domain Computers;Securing RDP (SWEET32) Clients","Windows 7 Enterprise"," , CN=CWVU8ZF9CK1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU8ZF9CK1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU8ZG0CK1","11/24/2021 10:50:13 PM","False","10/30/2018 11:45:45 AM",,,"","Domain Computers;Securing RDP (SWEET32) Clients","Windows 7 Enterprise"," , CN=CWVU8ZG0CK1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU8ZG0CK1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"CWVU8ZG1CK1","11/24/2021 10:50:14 PM","False","12/4/2016 3:47:55 PM",,,"","Domain Computers;Securing RDP (SWEET32) Clients","Windows 7 Enterprise"," , CN=CWVU8ZG1CK1,OU=CHSC,OU=HS Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu","CN=CWVU8ZG1CK1,OU=10-13-2021,OU=Inactive Computers,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
