**********************
PowerShell transcript start
Start time: 20210506144346
Username: DESKTOP-DBGBDVF\Jeff
RunAs User: DESKTOP-DBGBDVF\Jeff
Configuration Name: 
Machine: DESKTOP-DBGBDVF (Microsoft Windows NT 10.0.19042.0)
Host Application: C:\Program Files\PowerShell\7\pwsh.dll -WorkingDirectory ~
Process ID: 12532
PSVersion: 7.1.3
PSEdition: Core
GitCommitId: 7.1.3
OS: Microsoft Windows 10.0.19042
Platform: Win32NT
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.10032.0, 6.0.0, 6.1.0, 6.2.0, 7.0.0, 7.1.3
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
WSManStackVersion: 3.0
**********************
Transcript started, output file is 2021-05-06-14-43RemoveSODFiles-SessionTranscript.txt
Current Computer: SDL16005
Current Computer: SDL16004
Current Computer: SDW13026
Current Computer: SDW13003
Current Computer: SDW20001
Current Computer: SDW16001
Current Computer: SOD-AD-1178
Current Computer: SDW13101
Current Computer: SDW13004
Current Computer: SDW13098
Current Computer: SDW16002
Current Computer: SDW16058
Current Computer: SDA17010
Current Computer: SDA19150
Current Computer: SDA19199
Current Computer: SDA19200
Current Computer: SDA19201
Current Computer: SDA19202
Current Computer: SDA19203
Current Computer: SDA19204
Current Computer: SDA19206
Current Computer: SDA19208
Current Computer: SDW13099
Current Computer: SDW13039
Current Computer: SDW13043
Current Computer: SDW2013004
Current Computer: SDW13041
Current Computer: SDW2013003
Current Computer: SDW2013002
Current Computer: SDW13042
Current Computer: SDW2013008
Current Computer: SDW13035
Current Computer: SDW13064
Current Computer: SDW13040
Current Computer: SDW13005
Current Computer: SDW16042
Current Computer: SDW15013
Current Computer: SDW15060
Current Computer: SDW15025
Current Computer: SDW15058
Current Computer: SDW15011
Current Computer: SDW15041
Current Computer: SDL18007
Current Computer: SDL18008
Current Computer: SDL18009
Current Computer: SDL18010
Current Computer: SDL18011
Current Computer: SDW13022
Current Computer: SDL14001
Current Computer: SDW18006
Current Computer: SDW13121
Current Computer: SDW13032
Current Computer: SDW13047
Current Computer: SDW2013001
Current Computer: SDW13143
Current Computer: SDW13069
Current Computer: SDW13078
Current Computer: SOD-STC-4513-05
Current Computer: SDW13049
Current Computer: SDW13113
Current Computer: SDW13061
Current Computer: SDW13020
Current Computer: SDW13131
Current Computer: SDW13057
Current Computer: SDW13031
Current Computer: SDW13074
Current Computer: SDW13058
Current Computer: SDW13142
Current Computer: SDW13103
Current Computer: SDW13029
Current Computer: SDW13140
Current Computer: SDW13014
Current Computer: SDW13120
Current Computer: SDW15035
Current Computer: SDW16035
Current Computer: HS-SOD-DECC
Current Computer: SDW16139
Current Computer: SDW16084
Current Computer: SDL15000
Current Computer: SDT16001
Current Computer: SDL16055
Current Computer: SDL16013
Current Computer: SDL14002
Current Computer: SDL12005
Current Computer: HS-SODLOAN2
Current Computer: SDL2016001
Current Computer: SDA17001
Current Computer: SDA17002
Current Computer: SDA17003
Current Computer: SDW16039
Current Computer: SDA17018
Current Computer: SDA19202
Current Computer: SDW16142
Current Computer: SDA17017
Current Computer: SDW13092
Current Computer: SDW16065
Current Computer: SDW16066
Current Computer: SDW16067
Current Computer: SDW18007
Current Computer: SDL16031
Current Computer: SDL16030
Current Computer: SDW13087
Current Computer: SDW13021
Current Computer: SDA17004
Current Computer: SDW16063
Current Computer: SDA17005
Current Computer: SDA17006
Current Computer: SDW12008
Current Computer: SDW12009
Current Computer: SDW12014
Current Computer: SDW18004
Current Computer: SDL16023
Current Computer: SDL16022
Current Computer: SDL16021
Current Computer: SDW19212
Current Computer: TBN2193468
Current Computer: SDL16020
Current Computer: SDL16017
Current Computer: SDW18003
Current Computer: SDL16016
Current Computer: SDL16015
Current Computer: SDW16021
Current Computer: SDW13093
Current Computer: SDW16016
Current Computer: SDW15007
Current Computer: SDA19151
Current Computer: SDA19152
Current Computer: SDA19155
Current Computer: SDA19153
Current Computer: SDA19156
Current Computer: SDA19157
Current Computer: SDA19158
Current Computer: SDA19162
Current Computer: SDA19161
Current Computer: SDA19160
Current Computer: SDA19159
Current Computer: SDA19172
Current Computer: SDA19166
Current Computer: SDW15018
Current Computer: SDA19177
Current Computer: SDA19184
Current Computer: SDA19167
Current Computer: SDA19174
Current Computer: SDA19170
Current Computer: SDA19165
Current Computer: SDA19173
Current Computer: SDA19168
Current Computer: SDA19164
Current Computer: SDA19154
Current Computer: SDA19163
Current Computer: SDA19169
Current Computer: SDW15019
Current Computer: SDW15020
Current Computer: SDA19181
Current Computer: SDA19179
Current Computer: SDA19176
Current Computer: SDA19182
Current Computer: SDA19171
Current Computer: SDA19188
Current Computer: SDA19175
Current Computer: SDA19180
Current Computer: SDA19178
Current Computer: SDA19186
Current Computer: SDA19183
Current Computer: SDW15021
Current Computer: SDW15022
Current Computer: SDA19198
Current Computer: SDA19189
Current Computer: SDA19190
Current Computer: SDA19197
Current Computer: SDA19185
Current Computer: SDA19193
Current Computer: SDA19192
Current Computer: SDA19195
Current Computer: SDA19187
Current Computer: SDA19191
Current Computer: SDA19194
Current Computer: SDA19196
Current Computer: SDW15023
Current Computer: SDL16024
Current Computer: SDL16025
Current Computer: SDL16026
Current Computer: SDL16027
Current Computer: SDL16028
Current Computer: SDL16029
Current Computer: SDA18024
Current Computer: SDA18023
Current Computer: SDA18028
Current Computer: SDA18026
Current Computer: SDA18027
Current Computer: SDA18022
Current Computer: SDW19211
Current Computer: SDW13023
Current Computer: SDA19209
