id,entry date,level,termination date,college_name,degree,last GPA,transfer credit hours,transfer quality hours,credit hours earned,GPA credit hours,quality poinrts,major,minor,advisor,exit status,WVU_freshman,RN,Comment,P/F hours
700100185,1993-08-15 00:00:00.000,undergrad,1998-05-17 00:00:00.000,West Virginia University at Morgantown,BSN,3.55,0,0,159,156,555,Nursing,NULL,NULL,graduated,0,1,NULL,0
700100668,1994-08-15 00:00:00.000,undergrad,1998-05-15 00:00:00.000,West Virginia University at Morgantown,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,NULL,0,1,NULL,0
700100914,1997-08-15 00:00:00.000,assoc.,2000-05-13 00:00:00.000,Fairmont State University,Assoc.,3.12,0,0,64,64,200,Nursing,NULL,NULL,graduated,0,1,NULL,0
700101079,1994-08-15 00:00:00.000,undergrad,2001-05-13 00:00:00.000,West Virginia University at Morgantown,BSN,3.68,0,0,155,121,446,Nursing,NULL,NULL,graduated,0,0,NULL,0
700101079,2002-08-15 00:00:00.000,graduate,2004-05-16 00:00:00.000,West Virginia University at Morgantown,MSN,3.9,0,0,44,44,172,Nursing,NULL,NULL,graduated,0,1,NULL,NULL
700101289,1995-08-15 00:00:00.000,undergrad,2003-05-18 00:00:00.000,West Virginia University at Morgantown,BA/BS,2.56,0,0,133,142,0,Liberal Arts & Sciences,NULL,NULL,graduated,0,0,NULL,0
700101406,1993-08-15 00:00:00.000,undergrad,1995-07-15 00:00:00.000,Alderson Broaddus College,NULL,0,0,0,0,0,0,Secondary Education/Biology,NULL,NULL,transferred,0,0,NULL,0
700101406,1995-08-15 00:00:00.000,undergrad,1997-05-11 00:00:00.000,West Virginia University at Morgantown,BA/BS,3.46,78,0,156,63,218,Secondary Education/Biology,NULL,NULL,graduated,0,0,NULL,0
700101406,2003-05-20 00:00:00.000,undergrad,2004-12-29 00:00:00.000,West Virginia University at Morgantown,BSN,3.64,78,0,212,106,386,Nursing,NULL,Michele Godwin,graduated,0,1,NULL,0
700105569,1981-08-15 00:00:00.000,undergrad,1985-05-19 00:00:00.000,West Virginia University at Morgantown,BSN,3.7,0,0,144,117,434,Nursing,NULL,NULL,graduated,0,1,NULL,26
700105569,1992-08-15 00:00:00.000,graduate,1998-05-17 00:00:00.000,West Virginia University at Morgantown,MSN,3.93,0,0,61,49,193,Nursing,NULL,NULL,graduated,0,0,NULL,0
700105884,1987-01-15 00:00:00.000,graduate,1989-05-20 00:00:00.000,George Mason University,MSN,3.5,0,0,0,0,0,NULL,NULL,NULL,graduated,0,1,NULL,0
700106827,1990-08-15 00:00:00.000,undergrad,1994-05-15 00:00:00.000,West Virginia University at Morgantown,BA/BS,3.2,0,0,138,105,336,Nursing,NULL,NULL,graduated,0,1,NULL,0
700106827,1996-08-15 00:00:00.000,graduate,2001-08-17 00:00:00.000,West Virginia University at Morgantown,MSN,3.91,0,0,42,36,141,Nursing,NULL,NULL,graduated,0,0,NULL,0
700107801,1994-08-15 00:00:00.000,NULL,1996-05-12 00:00:00.000,Davis and Elkins College,NULL,3.375,0,0,120,120,405,NULL,NULL,NULL,NULL,0,0,NULL,0
700109066,1995-06-15 00:00:00.000,undergrad,1999-12-25 00:00:00.000,Virginia Commonwealth University,BA/BS,2.806,0,0,130,103,289,Business Management,NULL,NULL,graduated,0,0,NULL,0
700109150,2001-08-15 00:00:00.000,assoc.,2003-05-10 00:00:00.000,J. Sargeant Reynolds Community College,Assoc.,2.5353,0,0,99,99,251,Nursing,NULL,NULL,graduated,0,1,NULL,0
700112612,1987-08-15 00:00:00.000,undergrad,2001-12-28 00:00:00.000,West Virginia University at Morgantown,BSN,2.88,0,0,196,181,523,Nursing,NULL,NULL,graduated,0,0,NULL,0
700113426,1996-08-15 00:00:00.000,undergrad,2001-04-15 00:00:00.000,Alderson Broaddus College,NULL,1.56,0,0,35,35,75,NULL,NULL,NULL,unknown,0,0,NULL,0
700113967,2001-01-15 00:00:00.000,undergrad,NULL,Shepherd College,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,NULL,0
700115485,1974-08-15 00:00:00.000,undergrad,1978-12-16 00:00:00.000,West Virginia University at Morgantown,BA/BS,2.9595,0,0,173,173,512,Business Administration,NULL,NULL,graduated,0,0,NULL,0
700115485,1998-08-15 00:00:00.000,graduate,2000-05-14 00:00:00.000,Waynesburg College,Other Masters,3.93,0,0,28,28,109.9,Business Administration,NULL,NULL,graduated,0,0,NULL,0
700115882,1982-01-15 00:00:00.000,undergrad,1983-12-28 00:00:00.000,West Virginia University at Morgantown,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700115882,1985-01-15 00:00:00.000,graduate,1988-12-28 00:00:00.000,West Virginia University at Morgantown,MSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700116308,2000-08-15 00:00:00.000,graduate,2002-05-19 00:00:00.000,West Virginia University at Morgantown,MS,3.43,0,0,53,53,182,Athletic Training,NULL,NULL,graduated,0,0,NULL,0
700116694,1986-08-15 00:00:00.000,undergrad,1990-05-12 00:00:00.000,Concord College,BA/BS,3.61,0,0,164,164,593,Music Education,NULL,NULL,graduated,0,0,NULL,0
